Gene Name,RBF Value,Peridodicity Value,Combined Value,Ratio RBF:Periodicity
0,0.10006038327302448,0.9999999999999999,1.1000603832730242,0.05006036302348599
1,1721824.3328746145,0.0,1721824.3328746145,1.0
2,1115.6226878712812,1835.3860978894868,2951.008785760768,0.3780302149641877
3,26803596.126234017,580422.0262416087,27384018.152475625,0.9821999166002289
4,16899.782412994493,16390.569573655008,33290.351986649504,0.5076479980676776
5,6.677357579321956,399.52016222609245,406.19751980541434,0.01423379971775253
6,42166.154792301364,81643.7102214755,123809.86501377686,0.3405718501316612
7,4.508956123716388,118.54244430265173,123.05140042636809,0.03213998647722071
8,3.5095117776124716,170.56520704384093,174.0747188214534,0.017073604605870218
9,13.348010331650771,355.7023890722687,369.0503994039195,0.027280618561549418
